,id,lastFundingIndex,margin,lastPrice,size,account,marketKey
537,10407,39758,51500000000000016331,16700788000000000000000,6167373659254880,0x8efcfd2fe6956b1b49a1aba42b06c320334907cb,sBTC
564,10436,39877,54138095238095243377,16684495000000000000000,6814110945521575,0xb9972e034fe7ff9513094ed04785bc69c4f3877f,sBTC
385,9103,34456,50000000000000014399,17213320000000000000000,6099927265629175,0xd2f56327319ec645d58dec14d84e782b10bf1ff3,sBTC
640,9405,35642,51500000000000002807,17213630000000000000000,5983630413805803,0x964c64a8c0f7ae8536d74ee1f42b99a343baac5c,sBTC
63,1121,3356,59820000000000000084,36484551000000000000000,1644531681368368,0x536f428c511dcc898ff92053079c041cf2cd7b14,sBTC
189,1690,5230,56611060726687107526,29846729000000000000000,3838503416933380,0xf49bc6e43aedf67d08cd70671d4e40ce7fd5b6c6,sBTC
192,1938,6056,61918530113415539511,29513180000000000000000,2103722223301758,0x99bd11d67c0ef077dd85a0ddcefbc713601784c4,sBTC
206,1939,6058,84105284453445795047,29513180000000000000000,5730704765994987,0x76d83a162cb64dab3398971935e108040d33d4f5,sBTC
374,2677,8580,99295606820305792830,21474720000000000000000,-9313276261576402,0x56fe4e1fc671db51dfff927628665532a9fc250f,sBTC
231,13085,50773,51000000000000010213,18205620000000000000000,5602665550527804,0xee60cda87aabaf7dc77636b22592ee603bc2d4af,sBTC
494,13439,52375,107461459415870965038,20883926416680000000000,-5145653995890421,0x8e6973c639c9597bffbc7d7eda46cfc397246d3b,sBTC
669,13868,54451,567295125849578303210,21811230771280000000000,200000000000000000,0xfb3f0661d1564a4f4fef61bf1a50cc5621301d23,sBTC
690,12484,48286,102000000000000014903,16934910000000000000000,6023061238589399,0x26d41062e4b1f50be92c9b576fcb811a66fe3ff0,sBTC
943,11701,45090,95155214867197799558,16547060000000000000000,12086739275738409,0xc463029561171fa5cdb7e3a9433b1fb631e78d4e,sBTC
134,6920,25323,108250000000000003323,21255613649280000000000,-5092772280590769,0x296cf2ef329a186e8625f1315b0de01d41eb8d3f,sBTC
223,13651,53371,102326666666666661350,23026580000000000000000,13331549887130437,0x0f119a0faf1dd7083929c3bb585cbbffe85c012c,sBTC
416,7298,27124,116000839460557516947,16536346656000000000000,-6998986595009915,0xc3b2e374754272fe716dd91ff253c6078ded10bd,sBTC
474,7381,27454,53000000000000011910,16749800000000000000000,6328433772343550,0xd783e8098e81eda446a267cf036c78863ad2318a,sBTC
684,6341,23345,40001000000000000000,20558833331950000000000,288,0xc7571572426f147302e541a99d9fc33dc5b54ba1,sBTC
804,6503,23520,60000000000000003614,20097492305520000000000,5672349478580898,0x10fdca779f573cf1ced689f0eeb1317d83ee9c58,sBTC
825,10371,39584,56730000000000002732,16996930000000000000000,-3337661565941614,0x0a9e67004bc2179dd0978ca1e2d17454679330e5,sBTC
152,3875,12758,159000000000000000235,23240840000000000000000,17211081871395350,0xf3255cd6f38a3e0a6aea4217a2a5affbadb29c72,sBTC
175,4520,15276,206594538551929795542,20851160000000000000000,10000000000000000,0x1f353e22b43b6409de71d6229854c736a773eeda,sBTC
256,4086,13487,69790000000000000047,21918320000000000000000,-3193675427678763,0x654d34445eb7fe967aa95aafc0c614592f43a33e,sBTC
287,4214,13953,74500407250000000000,19983710000000000000000,10000000000000000,0x2e811936373126d2f6ef6bcac0fc4ccf27b963bc,sBTC
309,288,14288,77361087076383512481,19801742561740000000000,7816549421102561,0x68e845717ea2ae0ca63e7b2c9f6052fe7397e96e,sBTC
412,4532,25959,61448380304279022090,17744891809300000000000,19766752322593400,0x9a3bef5598b4298188f9e286ec1a87ea6773fe18,sBTC
602,4860,16728,98749999999999999974,18973800000000000000000,26352127670788140,0x444c996b74631763ce0c406fcbe9aa13d35f395e,sBTC
605,4864,16738,148122894815598919092,18972055266270000000000,39576211602932550,0x51064197a20a4b1b8ba92b747f4b56d6759fcfce,sBTC
940,148625,593043,104101683855089103117,1333112822770000000000,78364006753867121,0x7702b1c67ffeed9f762455a1b53a30e5134837af,sETH
10,146479,584418,101668642222394090234,1326870000000000000000,76909796007173361,0x2cfe4926544c4b269a1a2433d85e21913ce5c605,sETH
55,146529,584607,104076519706006357016,1326870000000000000000,78719980916638884,0x145199e9e5a15f7098100dc4d1fe7da05bcd0c62,sETH
24,143371,571912,105000000000000000107,1325910712020000000000,79190852783770392,0xeb868b91110a5116684e34ba4f3e4563de5c5831,sETH
575,141835,565719,100860000000000001215,1323980000000000000000,76179398480339582,0x2ece907b12402d38a4d6266bd734ea6b0a297a2c,sETH
710,141985,566313,97442716852405522821,1338040000000000000000,754800000000000000,0xf830781e71b1a9923b0508eaa62fa3034e1ae34b,sETH
887,142158,566993,56000000000000000034,1342330000000000000000,83437008783235121,0x2903683240ae3ee165ed79b1d53c463c8a7f7e97,sETH
294,140508,560318,100880000000000001118,1322390000000000000000,-76286118316079220,0x992d1602136c5b05799930d0fe7958a8ec4071d4,sETH
736,139900,557843,108490000000000000300,1311685029450000000000,-82710404986089322,0x6ad19e19e1ba88645b2b9cf08b9398f2de5413d1,sETH
369,136340,543540,108900000000000000725,1266140000000000000000,-86009446032824174,0x881d09da20835b7434cd543ea993291d8b60c50e,sETH
896,136878,545689,50499999999999999821,1265110000000000000000,79834955063196085,0x11114711f6dd90f6e7d21f6bd818502982bf8e19,sETH
258,135134,538692,103390000000000000506,1261276415970000000000,81972515057681991,0x3904c1f68c7032e0f6f9391192a3a57b4b6d74ea,sETH
500,135393,539748,55499999999999999985,1262057200000000000000,87951639592880576,0x4566a4563319cefbba8cf350b9b0d6b4ea43d6ad,sETH
742,133581,532455,51000000000000000350,1263040300000000000000,80757518188453685,0x1d0a5ab73883fe7774154df0f8daf7646ed52a09,sETH
103,128437,511927,118220000000000000129,1266600000000000000000,93336491394283909,0x0796fe6de307c2e95fdc5c74f7ed1847a08f45f3,sETH
764,129179,514873,63650288857174448351,1263952331800000000000,80699245876417947,0x30b2b07d44ab654dddcff12e86d5ec53e0355232,sETH
158,163991,654847,109309999999999999193,1541208883500000000000,70924844237701929,0xc77988276ec1fc38bbbd6742066ff53b9dfaa6e7,sETH
248,163988,654838,49999630723723059140,1541208883500000000000,-32516941326431070,0x4e4c7ff36e7366d5137a7b0f7bec677885505ecc,sETH
322,164088,655234,101372336973151290471,1543910950000000000000,-132100000000000000,0x5dfde03cd97a805a09a770dbf07996a800965737,sETH
131,161628,645443,100999989824541900199,1535734969620000000000,65768346831877465,0x9f5985cfcbb506497d0e48af52a1b8d10fc03207,sETH
250,161758,645964,50000000000000001492,1540425127960000000000,32458572047714832,0x83132a901a8678dd52ea209c35e619ac93865183,sETH
472,162002,646921,58673833126401851174,1528800000000000000000,126452852321096543,0x3ece8ec5b2ce41b3e353605c422e464326c66f0e,sETH
547,162083,647251,99110000000000000664,1524900000000000000000,-129988851727982162,0xd43f67c622aa070f04365ff3f5d176aef537a0b3,sETH
26,160462,640788,62464854128093898774,1521590000000000000000,98581089518201355,0xcdb7d9520c4871bcfd6a7f7fe0b8ea82316cd536,sETH
313,160768,642013,49999999999999999954,1528870000000000000000,32703892417275504,0x4812611b57addf7ebdec5bdac7746c03c5388511,sETH
411,160868,642411,101000000000000000311,1528210000000000000000,-66090393335994398,0xaec3ae505657d52955b2580bbaefd470050d14b3,sETH
446,162271,648011,60000000000000000425,1523908400550000000000,78744890412501374,0xf0ac8c1e96db4064542d145b431490455c94b677,sETH
524,160989,642881,108490000000000000079,1533815200000000000000,70732119488710243,0xc5b4129b842b254191bbaa883bd5dddb2c1b63e4,sETH
658,161127,643474,105000056991775019368,1528520000000000000000,-68693899981681626,0xf97be36daa526389333540c35eec5fc5603c78ce,sETH
